scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_kurtosis,scale3_mean,scale3_skewness,scale3_std,scale4_kurtosis,scale4_mean,scale4_skewness,scale4_std,scale5_mean,scale5_std,scale6_mean,signal_mean,label
1,0.190700725,1,0.247037277,0.0512487218,0.3668015,0.268406332,0.387597084,-0.0587344058,0.649334311,0.0282561425,0.64144218,-0.0419759974,1,0.139459357,1,-0.11159467,0.667144656,0.0994089618,0.594307363,0.307724893,0.292710036,0.0750599802,0.0986328125,2
1,0.233457327,1,0.298532754,0.0512487218,0.449041277,0.268406332,0.468392521,-0.0570364781,0.77621448,0.117083929,0.761134803,-0.00127086451,1,0.0451530404,1,-0.0166335981,0.822410822,0.155180618,0.920876145,0.444917321,0.301069409,0.208589166,0.396331578,2
1,0.19684732,1,0.2461465,0.0512487218,0.378624111,0.268406332,0.386199445,-0.0426538959,0.635272861,0.0378473587,0.613898635,-0.0318366624,1,0.143206239,1,-0.0773948207,0.556310594,0.119389124,0.522135556,0.221922845,0.105650194,0.706622839,0.0986328125,2
1,0.217976168,1,0.288889021,0.0512487218,0.419264168,0.268406332,0.453261673,-0.0426538959,0.703460634,0.0378473587,0.720500052,-0.0243506152,1,0.0777685791,1,-0.0272584632,0.701561987,0.0906105265,0.795396507,0.426465809,0.222991616,0.559476554,0.396331578,2
1,0.192294434,1,0.248373777,0.0512487218,0.369866908,0.268406332,0.389694005,0.00897027086,0.710920632,0.248344213,0.736034453,-0.0460395366,1,0.0537441261,1,-0.0527062714,0.530337751,0.155833438,0.514182389,0.356260657,0.383496284,0.00674113585,0.120117188,2
1,0.201835647,1,0.2649104,0.0512487218,0.38821888,0.268406332,0.415639669,0.00897027086,0.746194899,0.248344213,0.785039365,-0.0570036694,1,0.0856826529,1,-0.0439433753,0.586095572,0.0288886297,0.60373193,0.446780145,0.428852588,0.236793622,0.379570395,2
1,0.215039596,1,0.278494924,0.0512487218,0.413615853,0.268406332,0.436953574,-0.0587344058,0.732207894,0.0282561425,0.723123252,-0.0365166105,1,0.166188046,1,-0.0355551429,0.689856768,0.104054034,0.727704823,0.486911386,0.447656453,0.612090468,0.379570395,2
1,0.198545888,1,0.244573623,0.0512487218,0.381891191,0.268406332,0.383731633,-0.0570364781,0.660138547,0.117083929,0.623561442,-0.0445684232,1,0.0520325452,1,-0.0681274608,0.540919185,0.125140592,0.504278362,0.271296144,0.210537747,0.783907712,0.120117188,2
1,0.203136593,1,0.264350533,0.0702872425,0.392195821,0.277993083,0.412036836,-0.0482930206,0.707520127,0.0711958408,0.681591332,-0.0169841684,0.979867339,0.0763969794,1,-0.0390408449,1,0.183068976,0.903202057,0.14365238,0.109745771,0.182790667,0.0570913479,2
1,0.191853583,1,0.25416556,0.0702872425,0.370411724,0.277993083,0.396161765,-0.0474007018,0.646033764,0.0689654574,0.650346458,-0.0332462266,1,0.00823235605,1,-0.0383253507,0.721633494,0.0421616919,0.551248252,0.119352624,0.102239482,0.0422466695,0.46113795,2
1,0.196324185,1,0.258874238,0.0702872425,0.379043102,0.277993083,0.403501034,-0.0338988043,0.638884664,0.0216247272,0.644993663,-0.0322290659,1,0.0411680639,1,-0.036131341,0.752908766,0.133711323,0.768718898,0.361697793,0.375673681,0.620827138,0.0570913479,2
1,0.191364244,1,0.256388754,0.0702872425,0.36946696,0.277993083,0.39962697,-0.0338988043,0.622743845,0.0216247272,0.638801038,-0.0250139162,1,0.0605437197,1,-0.0345643461,0.595449865,0.182433411,0.597853899,0.250299156,0.235945627,0.31016624,0.46113795,2
1,0.194922432,1,0.250302523,0.0702872425,0.376336753,0.277993083,0.390140533,0.0187588967,0.73645246,0.215995938,0.738862872,-0.0407647565,1,0.0116320718,1,-0.0830490291,0.928603292,0.0173775069,0.882339716,0.134642795,0.00915618055,0.0276350528,0.0991586521,2
1,0.182440609,1,0.245932847,0.0702872425,0.352238089,0.277993083,0.3833296,0.0187588967,0.689293802,0.215995938,0.725964069,-0.0437304154,1,0.0227218922,1,-0.0864110962,0.770352483,0.0436518155,0.722382545,0.27779457,0.196679801,0.192349687,0.390411317,2
1,0.181998044,1,0.244282693,0.0702872425,0.351383626,0.277993083,0.38075757,-0.0482930206,0.63389504,0.0711958408,0.629849136,-0.045305267,1,0.0859692842,1,-0.0813752711,0.650226653,0.108815938,0.585873187,0.401947647,0.30131501,0.526944935,0.390411317,2
1,0.208896592,1,0.267118275,0.0702872425,0.403316677,0.277993083,0.416350812,-0.0474007018,0.703423142,0.0689654574,0.683489203,-0.0141293909,1,0.0120126018,1,0.00132115278,0.834304035,0.145522788,0.748984635,0.490432292,0.462858021,0.818941891,0.0991586521,2
