scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_kurtosis,scale3_mean,scale3_skewness,scale3_std,scale4_mean,scale4_std,scale5_mean,signal_mean,label
1,0.176771209,1,0.237940937,-0.0402374975,0.326173604,0.149861917,0.335051835,-0.0571529046,0.599635363,0.208935007,0.621764719,-0.0624536015,1,0.0276832338,1,0.517936766,0.510800362,0.213194788,0.0592447929,1
1,0.197388381,1,0.255302012,0.0246131476,0.381474465,0.280649751,0.411768287,0.00115615875,0.547320604,0.116671525,0.552783906,-0.0576838329,1,0.196053594,1,0.310583383,0.186885089,0.312528372,0.512842774,1
1,0.173392594,1,0.23832266,-0.0290545058,0.291618943,0.113627993,0.320913255,-0.0496795699,0.570208848,0.174900651,0.605639517,-0.0352212861,1,0.289732456,1,0.262048721,0.288257062,0.640817225,0.0592447929,1
1,0.192099348,1,0.254031718,-0.0290545058,0.323080748,0.113627993,0.342066288,0.0257430971,0.596661329,0.379578829,0.58996582,-0.0557506867,1,0.173350513,1,0.349570185,0.303535104,0.221809402,0.512842774,1
1,0.195273444,1,0.243907973,0.31139797,0.422774643,0.59360528,0.475346237,-0.071734041,0.693515241,0.0935822949,0.657737553,-0.0394411758,1,0.11417792,1,0.7899701,0.732675254,0.0912236944,0.159505203,1
1,0.184517458,1,0.240637451,0.31139797,0.399487495,0.59360528,0.468972415,0.0345886834,0.615219533,0.348105431,0.674802125,-0.0594941601,1,0.0706464723,1,0.673131406,0.608968735,0.442838937,0.274159133,1
1,0.18495661,1,0.240855351,-0.0402374975,0.341277093,0.149861917,0.339155704,-0.0283675548,0.555057526,0.0489682741,0.581486464,-0.0609802678,1,0.0853069052,1,0.62918365,0.403284281,0.950299799,0.274159133,1
1,0.181618601,1,0.238492459,0.0246131476,0.350997686,0.280649751,0.384656698,-0.0704497322,0.626201928,0.25490734,0.614206672,-0.0540189072,1,0.202130705,1,0.420136899,0.206409305,0.975104272,0.159505203,1
1,0.178275377,1,0.241737843,-0.0309002493,0.325416863,0.145933613,0.335442811,-0.0429652631,0.610723197,0.0463488065,0.621475816,-0.0224142205,1,0.274172783,1,0.80512476,0.364632428,0.126389056,0.0270432699,1
1,0.20984222,1,0.410894811,0.0485251397,0.41379115,0.294730604,0.664331973,-0.0538589507,0.699505627,0.100895718,1,-0.0403612331,0.625619411,0.293955594,0.92325604,0.948952734,0.685453713,0.359261483,0.52890116,1
1,0.177526549,1,0.236127555,-0.0209477656,0.304487258,0.117212541,0.314707816,-0.0315741561,0.577098489,0.096214965,0.584971309,-0.0275531244,1,0.0769499317,1,0.753639042,0.597503006,0.390681028,0.0270432699,1
1,0.20984222,1,0.34245348,-0.0209477656,0.359913975,0.117212541,0.45641765,-0.0243579429,0.663145781,0.041909717,0.81652087,-0.0673163086,0.816508651,0.0092960773,0.949974298,0.803236067,1,0.140686527,0.52890116,1
1,0.16354093,1,0.221489087,0.308014929,0.350997329,0.581784785,0.429143339,-0.0129180234,0.614741385,0.248862579,0.657715261,-0.0680134371,1,0.0332128778,1,0.68145901,0.663903773,0.185138911,0.129206732,1
1,0.176379502,1,0.266808569,0.308014929,0.37855196,0.581784785,0.516951561,-0.0501942039,0.585386634,0.0554312952,0.669913292,0.00676650694,0.847913563,0.400924504,1,1,0.788983524,0.414499074,0.303483635,1
1,0.149369925,1,0.378788203,-0.0309002493,0.272654027,0.145933613,0.525618076,-0.0412366129,0.469862759,0.247706518,0.913372397,-0.0788621828,0.58219099,0.109046847,1,1,0.66997999,0.70689857,0.303483635,1
1,0.178031325,1,0.230949506,0.0485251397,0.351062745,0.294730604,0.373397589,-0.00312795048,0.519416511,0.122380249,0.531690538,-0.0429459438,1,0.0450158231,1,0.974287927,0.226527244,0.719550908,0.129206732,1
1,0.148290306,0,0.265048623,0.0493199043,0.304555923,1,0.388539821,-0.0932528749,0.511616647,0.848882198,0.590073586,-0.134425312,1,0.0889324918,1,0.419450611,0.409112871,0.248125851,0.03125,1
1,0.163300499,1.14048764E-16,0.280898571,0.0142573658,0.297427535,0.814044535,0.384505689,-0.0941972658,0.573450923,1,0.642340243,-0.128012404,1,0.865036249,1,0.333295941,0.227135584,0.333075285,0.528467774,2
1,0.145905361,0,0.265909344,0.0702590942,0.277855873,1,0.380937129,-0.0823598802,0.500886261,0.627472103,0.584133089,-0.10413757,1,0.97647351,1,0.296599656,0.310894668,0.471064866,0.03125,2
1,0.159663677,9.07961748E-17,0.279294819,0.0702590942,0.304056644,1,0.400112957,-0.0584312864,0.560679793,0.961809993,0.597071767,-0.129146576,1,0.261030048,1,0.371500522,0.356286108,0.257216483,0.528467774,1
1,0.148290306,0,0.261556357,0.317892075,0.304555923,1,0.4276582,-0.0791691989,0.511616647,0.277271032,0.591981113,-0.129357427,1,0.135376722,1,0.728795707,0.714562654,0.177223668,0.203125,1
1,0.154390872,4.58154794E-17,0.268878132,0.317892075,0.317085117,1,0.439629674,-0.0503547862,0.631074786,0.377973288,0.723234415,-0.128195792,1,0.00297238538,1,0.641508937,0.63323307,0.300082505,0.289784133,1
1,0.154698208,1.11305847E-16,0.266618222,0.0493199043,0.31771633,1,0.390840679,-0.102344073,0.524760187,0.0457163788,0.587334096,-0.13018088,1,0.446978539,1,0.589000523,0.32379207,0.86542666,0.289784133,1
1,0.145905361,0,0.257451832,0.0142573658,0.265744895,0.91828692,0.352410853,-0.114221737,0.48827064,0.979019642,0.549528062,-0.138791174,1,1,1,0.464342505,0.153907552,0.889573455,0.203125,2
1,0.17722778,0,0.30935964,0.0774854347,0.359900117,0.77315402,0.450183064,-0.102471903,0.682725012,0.059250772,0.713304639,-0.0198372789,0.942942619,1,1,1,0.287934065,0.212014496,4.16333634E-17,2
1,0.192275509,1.60738557E-16,0.369144082,0.0429222211,0.356940389,1,0.504091144,-0.0765994787,0.671700537,0.176690549,0.813559592,-0.0868569762,0.853656292,0.250744909,1,1,0.428865105,0.37083137,0.54452616,1
1,0.167642742,0,0.285137713,0.0968160853,0.324113697,1,0.406644821,-0.0917052627,0.618705332,0.153759032,0.641954184,-0.058487799,1,0.179524571,1,0.791561782,0.719606042,0.287232757,0,1
1,0.192655861,1.10885202E-16,0.347217292,0.0968160853,0.372473031,1,0.49517867,-0.0563085042,0.621662199,0.0907518938,0.718552053,-0.130014434,1,0.0527671427,1,0.940523386,0.968398035,0.170891523,0.54452616,1
1,0.155116126,0,0.256733447,0.322354615,0.314997524,1,0.415224433,-0.0509172902,0.651300132,0.229709968,0.69119978,-0.094979316,1,0.00438819453,1,0.821056426,0.732930541,0.251194,0.15625,1
1,0.154266447,5.55233207E-17,0.267905354,0.322354615,0.313272059,1,0.433293164,-0.0829306692,0.536669433,0.175153628,0.614499986,-0.0627722219,1,0.496646941,1,0.963728368,0.748441458,0.329119831,0.319108635,1
1,0.129051223,1.21937619E-16,0.37613678,0.0774854347,0.26206696,1,0.547357798,-0.0713034272,0.404227495,0.841083765,0.771713793,-0.138807297,0.642752111,0.239108145,1,1,0.354040086,0.63869077,0.319108635,1
1,0.151541904,0,0.279566556,0.0429222211,0.281322479,1,0.381766975,-0.0381134376,0.506767213,0.37136662,0.619642258,-0.0718048289,0.901537061,0.0361224227,1,1,0.0989579782,0.686339021,0.15625,1
