scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_kurtosis,scale3_mean,scale3_skewness,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,scale7_std,scale8_mean,signal_mean,label
0.0747686699,0.968668401,0.0286549348,0.903430879,0.263385236,1,0.141269356,1,1,0.571801543,1,0.722532392,0.597911239,0.570368588,0.430809408,0.347382128,0.117493473,0.0929016545,0.143603131,0.0157254487,0.0234986953,4.17232513E-07,1
0.3861247,0.851370871,0.255898088,0.84943676,0.21798797,1,1,1,1,0.415007204,0.187851414,0.461570829,0.291774899,0.282242835,0.11266955,0.0645912811,0.0472727269,0.0331148542,0.0192784984,0.00140460301,0.0212987009,8.70227814E-06,1
0.602380753,0.789017379,0.0438712463,0.842570603,-0.993350387,1,1,1,-1,0.385644376,0.178425103,0.40004316,0.191154301,0.189258143,0.0993447006,0.0807997063,0.0496300198,0.0416602716,0.014680732,0.0124190086,0.0218263716,9.95397568E-06,1
1,0.782016218,0.373834252,0.822022021,0.287952155,1,0.439765245,1,-0.495301485,0.443243027,1,0.428048849,0.273856431,0.257335275,0.101897262,0.0913471282,0.0736393631,0.0371700265,0.0392314494,0.0291254129,0.0110137472,3.57627869E-05,1
-0.178970635,0.905244648,0.000772398605,0.874915361,0.019177258,1,0.309465498,1,1,0.361219764,1,0.395343393,0.32920891,0.316027701,0.0769537762,0.079854019,0.0460205972,0.0389509574,0.018599825,0.00581536954,0.0101381019,7.51018524E-06,1
1,0.835523784,0.358270168,0.832220376,0.684981048,1,0.102984764,1,-0.131071165,0.406417876,1,0.401246995,0.277100921,0.239453986,0.0578952432,0.0554409623,0.0508442074,0.0480073988,0.024079049,0.00517829321,0.00647544116,6.19888306E-06,1
-0.466844141,0.740504086,0.147754923,0.71361202,0.467569768,1,0.271107852,1,1,0.414189667,1,0.426326871,0.300887078,0.315365016,0.117580608,0.0937355235,0.11483971,0.0606232844,0.0309832022,0.00975699257,0.0396133102,1.80602074E-05,1
-0.561185062,0.931360781,0.0450063422,0.890387177,-0.358290941,1,0.0554536432,1,-1,0.28847307,1,0.272079259,0.261882335,0.224468544,0.0959578678,0.0768031701,0.0790870935,0.0438303016,0.0149010876,0.00476399017,0.00663697859,1.4424324E-05,1
-1,0.836550295,0.151755825,0.83259213,-0.0583943054,1,1,1,-0.555924535,0.269707888,0.103270151,0.271775067,0.273790181,0.233174622,0.114620902,0.111511461,0.0532678068,0.0389948711,0.0123657407,0.0102130314,0.0364630818,9.1791153E-06,1
-1,0.831258178,0.35572046,0.841385603,-0.917464316,1,0.415402502,1,-0.91483748,0.528817832,1,0.526184499,0.345135152,0.353656322,0.179789022,0.16236636,0.0563680008,0.0654000044,0.0378050432,0.0303639434,0.00584053947,2.51531601E-05,1
