scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_kurtosis,scale3_mean,scale3_skewness,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,scale7_std,scale8_mean,signal_mean,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.857737482,0.702127635,0.095375888,0.801984906,1,0.872340441,0.22622858,1,0.4121975,0.723404229,0.0414392389,0.655736983,0.374520093,1,1,0.961516738,0.829787254,0.662546575,0.787234068,0.62283951,0.914893627,0.534861863,0.659574449,0.232931316,0.53191489,2.98023224E-06,2
0.993662,0.677680373,0.122098267,0.721177757,-0.339612037,1,0.00742006488,1,1,0.517194867,1,0.518408537,0.14284417,0.561699271,0.833940208,0.592400908,0.509103179,0.493672788,0.846257567,0.762847304,0.231287926,0.105189167,0.0411328375,0.0181061756,0.34187457,3.10540199E-05,2
1,0.133163631,1,0.525865316,0.246742919,0.183206066,0.559668601,0.717968822,0.477463186,0.0996270329,0.454436272,0.390637755,0.0978362933,0.0628551915,0.442357808,0.235119864,0.0463737845,0.193703234,0.0814974904,0.298606008,0.300858855,1,0.244199455,0.652687132,1,0.0141124129,1
-0.316920578,0.289824724,0.283227682,0.702442408,-0.586201429,0.409493297,0.145922258,1,-1,0.21025306,1,0.510815144,0.29678151,0.122426972,0.363211364,0.320386499,0.0757624432,0.163379744,0.112734579,0.261672944,0.143692166,0.288389921,0.333364457,0.64351356,0.737735033,0.0172435641,1
-0.00745509565,0.180033922,0.20062013,0.688646257,0.204221904,0.265325218,1,1,-1,0.156246692,0.512554586,0.582132876,0.778611898,0.0686322972,0.930446565,0.270355523,0.0585185327,0.247184455,0.0922958702,0.267935514,0.221946433,0.511413217,0.290737718,0.891852319,0.609423041,0.0269918442,1
0.193712413,0.15185976,1,0.662727654,0.363249362,0.226332292,0.547421038,1,-0.0879183486,0.110939175,0.947237909,0.479273438,-1,0.0601773374,0.187441692,0.220901087,0.0781650394,0.201845229,0.116424732,0.167898521,0.244639307,0.334442437,0.507749379,0.105986856,1,0.000774979591,1
0.0202796459,0.273782313,0.0163926072,0.689353824,0.0602412075,0.398908705,0.026683202,1,-1,0.221862152,0.373727411,0.535317004,-0.329032421,0.136856541,1,0.269001544,0.0875815377,0.205522865,0.123270594,0.232985377,0.250626683,0.380270779,0.478582412,0.751059651,1,0.0146465302,1
-1,0.201867491,0.768151581,0.607433975,-0.901006222,0.297617048,1,0.905207455,-0.147977844,0.157484755,0.833437204,0.500630856,-0.0444093905,0.0724023357,0.970537901,0.222672373,0.0636942685,0.193107009,0.0862235725,0.269566149,0.180033654,0.484572679,0.394395113,1,0.0240818691,0.0243399739,1
0.523167551,0.217554823,1,0.670280933,1,0.313805699,0.785436928,1,-0.337927997,0.17724593,0.255983293,0.539068282,-0.298459113,0.0750648454,0.611434102,0.207396403,0.0780358389,0.176636547,0.125053048,0.241780937,0.258158445,0.417807817,0.442902625,0.950784326,1,0.0110459328,1
0.126393035,0.323921829,0.361440718,0.646899998,0.0237000026,0.505563319,0.243474647,1,0.699871838,0.316675603,1,0.644422233,-1,0.112938151,0.322683781,0.203526959,0.0937149376,0.182997242,0.109050632,0.143181622,0.142380387,0.177945718,0.238853753,0.145442158,0.183613822,0.0166815519,1
