scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_kurtosis,scale3_mean,scale3_skewness,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,scale7_std,scale8_mean,signal_mean,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0.414285719,0.502608836,0.461662859,0.739983976,0.699999988,0.0370942131,0.699191868,0.508481562,1,0.0513561592,0.965925276,0.798781157,0.985714257,1,1,0.642857134,0.546856225,0.271428585,0.202958778,0.414285719,0.263506114,0.257142872,0.104937091,0.114285715,4.76837158E-07,1
0.550242245,0.478811502,0.317458153,0.481659263,-0.40102002,0.791524589,0.250389218,0.774251759,1,0.879201174,1,0.905189037,0.421507448,1,0.613521039,1,0.536288381,0.544182241,0.658061385,0.638008058,0.328787148,0.136857226,0.303458363,0.184745952,0.179736972,4.61935997E-06,1
0.461586118,0.248364493,0.0199238397,0.215507358,0.379188567,0.464198023,0.0445726626,0.401476622,1,0.728281319,0.88839227,0.674462199,0.380769908,0.827254295,1,0.742136121,1,1,0.617586434,0.572207034,0.357840598,0.263700396,0.0745434016,0.0154224001,0.189719141,0.000111371279,1
-0.659399211,0.333506942,0.43595472,0.329266071,-0.648062766,0.623924136,0.840754211,0.623149574,-0.603587508,1,0.435685635,1,-1,0.969902992,1,0.943514585,0.651005983,0.653087199,0.542541504,0.549236536,0.583054662,0.606126189,0.173126474,0.141605452,0.0864261836,8.6247921E-05,1
-0.854257643,0.264041722,0.0341268517,0.286189407,-0.766848147,0.492436022,0.198628038,0.543066204,-0.984110415,0.826868773,1,0.897763371,-1,0.863435984,0.135414854,0.924835086,0.911927938,0.850349128,1,1,0.547746658,0.321697712,0.161317438,0.0973267779,0.132615522,0.000203073025,1
-0.844138801,0.340905428,0.0654116422,0.32528758,-0.895506442,0.643729389,0.0533970222,0.616377056,-1,1,0.451333731,0.964021027,0.373934746,0.929681838,1,1,0.794488609,0.822798073,0.834297419,0.837784111,0.560355902,0.128102928,0.167530328,0.0220731087,0.129308268,0.000139713287,1
-0.221719369,0.278592944,0.0183231533,0.283940554,-1,0.539014935,0.140590072,0.533438146,-0.73276639,0.793805718,1,0.791357279,-0.656910539,1,0.453366041,1,0.964054942,0.889095843,0.888344526,0.752833605,0.687781394,0.620168984,0.22739169,0.171862215,0.369509935,0.00022688508,1
0.418076515,0.318112493,0.477242559,0.325107068,0.116920434,0.593519449,0.522540629,0.602860093,-1,1,0.249246553,1,0.811454773,0.789087057,1,0.790259778,0.888722897,0.837018967,0.747657716,0.719023347,0.619696856,0.502594829,0.171973735,0.139161885,0.0437015593,0.000101029873,1
-0.545589149,0.336329848,0.224263549,0.353152335,-0.701232195,0.646794438,0.507460713,0.662032187,-1,1,0.0380270071,1,-0.165374234,0.824377894,1,0.9094401,0.617483199,0.531752288,0.7243765,0.668130815,0.571718514,0.500201821,0.299091518,0.0963844433,0.228156194,2.20835209E-05,1
