scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_kurtosis,scale3_mean,scale3_skewness,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,scale7_std,scale8_mean,signal_mean,label
0.487141281,0.912087917,0.4375664,0.863851905,1,0.94725275,1,1,0.125432491,0.74505496,0.216421783,0.589609146,0.226515025,0.349450558,0.392970741,0.309736997,1,0.887413323,0.120879121,0.0812358335,0.0769230798,0.0456571802,0.252747267,0.100325398,0.23956044,3.24845314E-06,1
1,0.382246256,1,0.465429842,0.847608089,0.50544101,0.611081004,0.614992619,-0.536642671,0.680686116,0.246411189,0.816605508,-0.690924048,0.693550348,0.299834728,0.859927177,0.702180445,0.817154706,1,1,0.329413831,0.314405233,0.406086922,0.378670931,0.300529957,0.000132769346,1
0.127651632,0.497375727,0.144027427,0.532308877,-0.272624135,0.708993971,0.199378356,0.737153053,-0.478459179,0.970075011,0.260061204,0.96768713,1,1,1,1,0.49237448,0.495072246,0.749141276,0.718846679,0.735978663,0.266054422,0.561237693,0.471294969,0.424692929,0.000190973282,1
-0.382242739,0.593508065,0.884512544,0.606524467,-0.0820082873,0.952650368,0.777075171,1,-1,1,0.60600096,0.946462691,-0.474268734,0.954106271,1,0.920682549,0.741380453,0.703458846,0.669710815,0.719568253,0.311792731,0.296680391,0.233836278,0.193003923,0.0729270056,0.000481784344,1
-0.174571887,0.481740624,0.12166103,0.457163781,-0.264371574,0.666257918,0.10689383,0.627022564,1,0.617153108,1,0.622557223,-0.364884645,0.739734352,0.492870867,0.680311322,1,1,0.298023671,0.324051321,0.965068996,0.743088067,0.229762346,0.174391598,0.224211603,0.000719159842,1
-0.0870357677,0.468553334,1,0.484785944,-1,0.663601458,0.189349532,0.676599562,-0.869336545,0.810031414,0.611746311,0.818813801,-0.986706316,1,0.935480654,1,0.620938599,0.652701914,0.533035576,0.577902377,0.209298253,0.128771901,0.347295731,0.252716899,0.166310102,0.000466912985,1
-0.11896798,0.590692759,0.0259767063,0.618727386,0.133855492,0.785451829,1,0.833118737,0.0960664973,0.891566277,0.774662435,1,1,0.881295204,0.690731704,0.988247633,0.873132527,0.974367261,1,0.954208732,0.881385565,0.559281409,0.881415665,0.74293673,0.1889759,0.000307738781,1
0.306027323,0.393308848,0.0356114954,0.431229293,0.837192714,0.507740974,0.591654897,0.589682519,0.50583154,0.762963653,0.113556273,0.845782816,-1,1,1,1,0.680794537,0.711875021,0.630368829,0.617867887,0.436601758,0.33082661,0.14434512,0.123911105,0.289245278,0.000234931707,1
-0.574581087,0.622073472,0.329663068,0.5948627,-1,0.934459567,0.559075236,0.898557723,-0.0336899385,0.996354997,0.714606822,0.987839639,-0.716213822,1,1,1,0.639597654,0.629983127,0.419949532,0.389744461,0.402635634,0.274160057,0.350974351,0.270016879,0.181094915,0.000270903111,1
0.0303744525,0.483997881,0.130001217,0.51107806,-0.294356763,0.68863529,0.493081242,0.714890659,-0.0221798252,1,1,1,-1,0.876838088,0.232099712,0.813152611,0.743687034,0.722045422,0.771031559,0.636091828,0.310304403,0.287115693,0.167359576,0.099304758,0.0931387618,0.000389397144,1
