scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_mean,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,signal_mean,label
-0.434187382,0.896424174,0.231040463,0.892753184,1,0.914919853,0.0469874926,0.933844566,0.478452235,1,1,1,0.828606665,0.820517004,0.517879188,0.484916747,0.252774358,0.208594501,0.246609122,0.0505503751,0.0641183704,2.47955322E-05,False
1,0.743315518,0.168341354,0.80540657,0.4217709,0.847593606,1,0.926209509,-0.231402144,1,0.0540125147,1,0.518716574,0.521096766,0.607843161,0.606707573,0.465240628,0.307102114,0.773618519,0.196661144,0.275401056,5.36441803E-05,False
1,0.56738776,0.536904871,0.616764426,0.861265838,0.827443242,0.066909425,0.887930512,0.444420069,1,1,1,0.33200708,0.337473959,0.233541742,0.188762426,0.97622788,0.834871888,0.689792395,0.358722389,0.899796069,0.00296938419,False
-0.463751584,0.501335204,0.128054351,0.555795312,-0.523030102,0.824710011,0.271739811,0.923456132,-1,1,1,1,0.328006357,0.399604738,0.485437691,0.464207143,0.548923492,0.526943922,0.36971125,0.199181229,0.0588646419,0.0024522543,False
-1,0.527436793,0.419981003,0.588943183,-0.728497803,0.881804883,0.735340118,1,0.100914255,0.800061882,1,0.952394664,0.404757112,0.444417119,0.486543566,0.498478055,0.730491281,0.732871234,1,0.484492183,0.177433804,0.00226742029,False
1,0.520760596,0.122703359,0.548560262,0.0289244577,0.873027146,0.00339705031,0.894948602,-0.987547815,1,1,1,0.351998866,0.352847427,0.348549664,0.391758054,0.519938707,0.533575058,0.594862342,0.253284723,0.196373984,0.00147730112,False
-0.490568072,0.500789106,0.10446959,0.533348143,-0.846052706,0.892524481,0.149410963,0.900392592,-1,1,1,1,0.271716356,0.284482539,0.463241279,0.571936846,0.46252954,0.459013522,0.418936908,0.358566672,0.143022195,0.000838160515,False
0.141033873,0.462271124,0.289744347,0.480268836,1,0.704316974,0.694879889,0.78354013,-0.234954417,1,1,1,0.229099348,0.250294805,0.302851826,0.242813945,0.506215215,0.438792109,0.648862422,0.165915832,0.450345546,0.000746011734,False
0.0772942454,0.273073107,0.278485149,0.28438139,-0.0338418111,0.477969378,1,0.49806729,-1,0.423111171,0.415166974,0.417478502,0.378159136,0.380746514,0.413196445,0.43339929,1,1,0.723178744,0.352144957,0.250369012,0.00111311674,False
-0.846207142,0.553346395,0.013731014,0.568825424,-1,1,0.371281326,1,-0.45283708,0.783168852,1,0.856605053,0.441076308,0.436352611,0.826393008,0.778189778,0.91083014,0.556232572,0.747264981,0.407584369,0.179720595,0.00156021118,False
-0.62279731,0.550121069,0.183777168,0.562662005,-0.808870554,0.900515616,0.159687221,0.882256389,-1,1,1,1,0.569672942,0.588227332,0.749447167,0.672158539,0.56072861,0.341772199,0.482471645,0.159537613,0.336121768,0.00100964308,False
-1,0.409424126,0.212788403,0.643760502,-0.465742707,0.63622719,0.850890458,1,-0.743313074,0.603604734,1,0.971681058,0.472047359,0.677607894,0.691260338,0.970475793,0.616977215,0.809230089,1,0.77647227,0.4243294,0.000586330891,False
-0.400517285,0.568442822,0.2027383,0.584179342,-0.487109572,0.949568808,1,0.98767972,-1,1,0.0447799452,1,0.317355931,0.336432397,0.399256736,0.358288586,0.702513814,0.525751472,0.378787965,0.22658883,0.0967338905,0.00145679712,False
-0.265538514,0.571647286,0.103491716,0.586544871,1,0.908197939,0.109969519,1,-0.372330666,1,1,0.993387222,0.353968859,0.393814951,0.527362585,0.516684055,0.556903243,0.410898417,0.44600749,0.376242042,0.523630559,0.00128036737,False
0.381437063,0.477829993,0.429860562,0.50077647,-0.321929157,0.726862669,1,0.750237703,-1,0.753780007,0.21348764,0.758921146,0.395008564,0.407458931,0.941312373,0.865682483,1,1,0.485014766,0.395508111,0.213014171,0.000862300396,False
-1,0.459834367,1,0.499701828,0.0594832785,0.640298665,0.348333836,0.767023146,-0.655047178,0.721826315,0.899841309,0.809363604,0.400387794,0.466271281,0.637916267,0.650216222,1,1,0.368828714,0.336954296,0.0893555135,0.00103521347,False
1,0.597667396,0.362565964,0.594389617,-0.0791340023,1,0.358927846,1,-0.594349146,0.952662289,1,0.914373994,0.447909445,0.414759278,0.553348303,0.483906597,0.48555094,0.410445333,0.78252089,0.612073183,0.571887016,0.00118023157,False
-0.271648496,0.555098057,0.144248366,0.565539837,-1,1,0.0149245355,1,0.12838468,0.890757322,1,0.892724514,0.625471532,0.563860297,0.670130312,0.668612361,0.809550762,0.795107007,0.376711667,0.311947882,0.120504066,0.00290894508,False
-1,0.587347984,1,0.587204576,-0.756897926,0.97578162,0.509266675,1,-0.99654001,1,0.811896384,0.997848809,0.365050375,0.423344076,0.405396938,0.436809242,0.315373987,0.379968822,0.788128316,0.67228961,0.338378817,0.00207841396,False
-0.253268272,0.46588099,0.169454858,0.482771337,-0.732706368,0.773372829,1,0.78326726,-1,1,0.452081114,1,0.288927197,0.269841224,0.454639912,0.46390599,0.609326005,0.568000793,0.568873107,0.112868115,0.370113492,5.61475754E-05,False
0.0324747898,0.406850278,0.191847026,0.49211961,1,0.642410994,0.152978122,0.800969839,0.42883575,0.772853911,1,0.87531364,0.622560263,0.637888849,0.392116576,0.484161407,1,1,0.594197512,0.146124303,0.461025506,0.00091701746,False
-0.0363236144,0.532001853,0.268081456,0.567623258,0.188602775,0.893517077,0.789421499,1,-1,1,1,0.99673146,0.343547553,0.368368596,0.538002014,0.555718482,0.519634724,0.482258439,0.352141649,0.299011856,0.685516477,0.000599682331,False
0.946602583,0.420892328,0.0246698968,0.456066281,1,0.724391162,1,0.820110559,-0.507294416,0.738832474,0.477998793,0.779694915,0.409741759,0.456132203,0.863800168,0.813024461,1,1,0.256666541,0.0898729861,0.462013364,0.00194501877,False
-0.417724103,0.558267534,0.113360196,0.569188178,-1,1,0.179797873,0.967133462,0.330358028,0.963463724,1,1,0.487431198,0.509982646,0.603123009,0.64553833,0.452676266,0.545377433,0.504164338,0.412266463,0.165654406,0.000749528408,False
-1,0.58914566,0.702234089,0.583589196,-0.68431592,1,1,1,0.238842964,0.901119351,0.0935233235,0.925188541,0.41528213,0.383590698,0.616395295,0.696589351,0.656762719,0.568296492,0.317953289,0.00673640845,0.0213734452,0.000918626785,False
-1,0.574715853,0.103613362,0.560875952,-0.870158315,1,0.270045698,0.987887263,-0.749155164,0.980004013,1,1,0.308692098,0.316066682,0.752526402,0.656736732,0.811529994,0.818320811,0.700013816,0.585645199,0.0656637922,0.000352144241,False
-0.584021151,0.406953305,0.202752918,0.464978576,-0.87329936,0.694557846,1,0.803181171,-1,0.904535651,0.328931808,1,0.445249766,0.508784652,0.705262482,0.672449708,0.566353023,0.538196683,1,0.0449754111,0.320668817,9.25064087E-05,False
-1,0.577331781,0.253219187,0.560786009,-0.0363259837,0.960960448,0.361637473,1,-0.674374282,1,1,0.956124783,0.423483521,0.408272594,0.534528196,0.56717068,0.583935738,0.505370796,0.560685933,0.460556298,0.277570933,0.000493526459,False
-0.443734795,0.365168154,0.625401497,0.410965711,-0.319509417,0.584282517,1,0.675721705,-1,0.58833313,0.239978865,0.624283135,0.437964559,0.478357881,0.680636466,0.774253368,1,1,0.0433287248,0.0405754149,0.285493046,0.00223881006,False
-0.628137708,0.373110324,0.198659584,0.493180126,-1,0.694559216,0.164761782,0.863863051,-0.149839073,0.732525945,1,1,0.442586035,0.58724457,0.438379884,0.561688006,0.567558229,0.816277623,1,0.389175653,0.836034358,0.00143432617,False
-0.663313329,0.325779647,0.0669883341,0.344419628,-0.329179645,0.557666063,0.484169751,0.592714548,-1,0.642681658,1,0.631893218,0.333990306,0.363498569,0.612748027,0.608891785,1,1,0.475060344,0.416811466,0.0310567562,0.00143700838,False
-0.35667783,0.43516022,0.229756251,0.55001092,1,0.762014687,0.817901611,0.967040539,-0.707993686,0.813754976,1,0.995244026,0.537468433,0.657418668,0.612412512,0.634819627,0.31253618,0.348317295,1,1,0.149795204,0.00221472979,False
-0.564850867,0.480337322,0.108744405,0.453228891,-1,0.818633735,0.554585755,0.77060318,-0.692017376,0.946802258,1,0.927621603,0.64598316,0.630216718,0.924690306,0.800066769,1,1,0.222838238,0.129853681,0.232925802,0.000597059727,False
-1,0.306145579,0.209359258,0.337178141,-0.694169104,0.483268946,0.0944081843,0.565983355,-0.997967124,0.574748993,1,0.6295681,0.274477959,0.311576128,0.287936449,0.304970622,1,1,0.543629169,0.116045289,0.064818047,0.00174760818,False
-0.0994006693,0.40740633,0.158790261,0.444713831,-0.985666275,0.755088151,0.344381601,0.761555672,-1,1,1,1,0.377598405,0.44506979,0.462051779,0.626117349,0.494265199,0.447622567,0.884796798,0.764394283,0.848366499,0.000378906727,False
-1,0.439671069,0.11847923,0.472587764,-0.238446504,0.733229518,0.666269541,0.842161238,-0.507984757,0.728843749,1,0.767673194,0.347832054,0.39522779,0.466309488,0.559209526,1,1,0.295041114,0.153852969,0.522377253,0.00213909149,False
-0.968645811,0.4187482,0.162814483,0.504026115,-1,0.729952633,0.725992501,0.861243367,-0.521115184,0.785264015,1,0.98304081,0.423981994,0.453556716,0.676600158,0.749980152,0.397340924,0.526729286,1,1,0.340482503,0.00213855505,False
-0.215393245,0.411919206,0.489535809,0.489462137,-1,0.678184807,0.203510955,0.793101728,-0.673706353,0.835187972,1,0.9594208,0.240380868,0.295415699,0.41171512,0.503821492,1,1,0.216545984,0.138779804,0.239662081,0.00213241577,False
0.945161521,0.513735175,0.0235535651,0.504849613,-0.655630946,0.927666008,0.0744975358,0.873918772,1,0.976976037,1,1,0.531520903,0.448272377,0.644393921,0.544077814,1,0.761329532,0.438842982,0.103568196,0.00561048742,0.0025985837,False
-0.542236209,0.37555328,1,0.432637185,-0.683815956,0.627524137,0.844736934,0.714759588,-1,0.888819039,0.951672912,0.96115911,0.377975971,0.491255045,0.417550623,0.453834385,1,1,0.587032795,0.550661445,0.478536457,0.00135850906,False
0.00465690345,0.464144796,0.825942695,0.492636472,0.29614836,0.804442883,1,0.904831171,-1,0.700667143,0.186951891,0.737624288,0.397629529,0.436625779,0.401589781,0.470196545,1,1,0.699219286,0.610972703,0.986061037,0.00209975243,False
-1,0.551092088,0.139286593,0.552114427,0.305550635,0.879116476,0.135600433,0.925086737,0.393005162,1,1,1,0.330242455,0.358829737,0.404300541,0.417628288,0.338837385,0.321988463,0.85009706,0.200051412,0.370768011,0.00275611877,False
-0.457597047,0.504023314,0.122559056,0.508592129,-0.428783536,0.82753855,0.197806403,0.831628442,-1,1,1,1,0.397520661,0.407914162,0.406917304,0.392005086,0.914090693,0.78141582,0.138828471,0.0713351071,0.0696338862,0.0003221035,False
-1,0.519038081,0.114758365,0.53041172,-0.825337172,0.857408285,0.0255347509,0.871845126,-0.635746419,1,1,1,0.336194724,0.342892557,0.516792119,0.485217243,0.555468023,0.512542486,0.469343841,0.00541066984,0.446154743,0.000404238701,False
0.283704966,0.379509568,0.0923891962,0.44932881,1,0.629591405,1,0.74935025,-0.94775039,0.677374661,0.605837524,0.747184396,0.478336394,0.53079319,0.780028224,0.860419631,1,1,0.709347725,0.0372000672,0.106719367,0.000523686409,False
-1,0.496013701,0.172590658,0.487879187,-0.46301204,0.928795934,0.65883249,0.904277027,-0.135916755,0.848077655,1,0.873409688,0.437711298,0.464172721,0.834474623,0.874601841,1,1,0.824642897,0.156487763,0.214836285,0.00161272287,False
-0.175358951,0.489830643,0.0808635429,0.475581467,-1,0.860247076,1,0.785660565,-0.254425436,1,0.589364648,1,0.363413244,0.351912946,0.295164853,0.321297705,0.713540077,0.558216453,0.656565487,0.499813557,0.446011603,0.000427246094,False
-0.424887389,0.283159465,0.00546783907,0.426290125,-1,0.517994523,0.395711899,0.764762044,0.646594524,0.46032545,1,0.724556804,0.351361424,0.556648195,0.63195312,0.769390702,0.774821758,1,1,0.164797381,0.0107745603,0.000756025314,False
-0.758986056,0.417501777,0.332516909,0.41614753,-0.0924507901,0.694416463,1,0.705464602,-1,0.856869102,0.752332985,0.836109579,0.478885561,0.473521709,0.877886772,0.819067836,1,1,0.856428444,0.265304774,0.215310559,0.000166118145,False
-1,0.347071886,0.188961551,0.430873126,-0.732500911,0.611605465,0.44136557,0.773631811,-0.316103578,0.629159212,1,0.808665037,0.29099977,0.358816981,0.804625332,0.879849434,0.285020083,0.365962386,1,1,0.264697701,0.00351196527,False
-0.852018654,0.476238102,0.135256499,0.460543245,-1,0.748736203,0.0297120288,0.719962895,-0.61942333,1,1,1,0.24264735,0.244048566,0.522134662,0.43435812,0.593146861,0.45775795,0.308897883,0.251037925,0.214477211,0.00340986252,False
-0.326007634,0.469788909,0.0989711285,0.506061971,-1,0.818768561,0.280533791,0.884225845,0.339624554,0.936035156,1,1,0.404280692,0.430859685,0.656632543,0.675946116,1,0.932107747,0.513367534,0.439114511,0.292612255,0.000427424908,False
-1,0.614058435,0.0432644896,0.604361713,-0.822591305,1,0.20209682,1,-0.794623196,0.91437155,1,0.898693562,0.410959929,0.418868929,0.697927594,0.627339125,0.320284963,0.259731442,0.413598925,0.339700997,0.790223002,0.0019890666,False
-0.944429934,0.636403441,0.796048224,0.615061164,-0.331431061,0.960931361,0.631454289,0.946379185,-1,1,1,1,0.398387849,0.428409338,0.411511779,0.380428076,0.567662835,0.471458346,0.091530636,0.0739402771,0.783416033,0.00187075138,False
-0.808307946,0.604849815,0.0873750299,0.617595136,-1,0.978418112,0.0789309889,1,-0.468116283,0.926978171,1,0.929792404,0.593723595,0.637191355,0.836337149,0.834400833,1,0.816524208,0.590370417,0.338732779,0.238612726,0.00271719694,False
-1,0.338409752,0.0422515161,0.483092725,-0.0969989449,0.546747565,0.0647658929,0.796920955,0.412774175,0.592517138,1,0.814122438,0.417518258,0.620012224,0.650972664,0.866226196,0.670604229,1,1,0.873009741,0.102442712,0.0013359189,False
-0.659342945,0.414315253,0.338315547,0.472988397,0.0359681956,0.674778223,0.714692056,0.778878629,-1,0.878567159,1,1,0.418464422,0.539814651,0.75962913,0.830638111,1,0.988479972,0.23475419,0.216973439,0.232312724,0.000196456909,False
-0.144971803,0.433514416,0.0625564978,0.42611897,-0.494967997,0.751441717,0.30796504,0.714518428,1,0.633476436,1,0.685813606,0.471139312,0.437949836,0.86764425,0.833686292,1,1,0.729985178,0.567674756,0.215013489,0.00111609697,False
-0.915596426,0.432661206,0.179708421,0.414041847,-1,0.814375162,0.00533548696,0.767881155,-0.385680765,0.733633518,1,0.746716559,0.352861673,0.368750185,0.44656992,0.398120075,1,1,0.431132078,0.190133914,0.0827032849,0.000687479973,False
